image_name,comment
100716317.jpg,Lady in blue coat with white and brown hat standing in front of a painting .
100716317.jpg,Passerby admiring painting at an outdoor art fair .
1007205537.jpg,A man stands on one foot while holding on to a waste basket .
1007205537.jpg,A man in green pants and blue shirt pushing a cart .
1007205537.jpg,Janitor pushing dolly outside with janitor tools .
1007205537.jpg,A man in green pants walking down the road .
1007205537.jpg,A man in bright pants is pushing a cart .
1007320043.jpg,A small child grips onto the red ropes at the playground .
1007320043.jpg,A little girl in pink climbs a rope bridge at the park .
1007320043.jpg,The small child climbs on a red ropes on a playground .
1007320043.jpg,A little girl climbing on red roping .
1007320043.jpg,A child playing on a rope net .
100759042.jpg,Young man in jacket holding a toothpick with something on the end of it
100759042.jpg,A young man traveling on bus with a piece of flower in his hands .
100759042.jpg,A teen holding an unknown object for photographers .
100759042.jpg,A young man on a train holds an origami crane .
100759042.jpg,You know i am looking like Justin Bieber .
10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net .
10082347.jpg,A young man in a black and yellow jacket is gazing at something and smiling .
10082347.jpg,A young man holding a pole vault looks determined .
10082347.jpg,A man is holding a pole and smiling .
10082347.jpg,A smiling man looking at the sky .
10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
10082348.jpg,A man is wearing a ball cap and holding a coffee cup between to urinals .
10082348.jpg,a man is posing next to a urinal with a cup of coffee .
10082348.jpg,A man holds a coffee cup while in the bathroom .
10082348.jpg,A man standing at a urinal with a coffee cup .
100845130.jpg,Five people walking with a multicolored sky in the background .
100845130.jpg,Four people walking through the sunset in clear blue skies .
100845130.jpg,Four people walking with the sun setting behind them .
100845130.jpg,Four silhouettes decorate the horizon 's sunset .
100845130.jpg,A group of people walking as the sun sets .
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer .
10090841.jpg,A man is sitting at a table with a drink .
10090841.jpg,A man is sitting at a table with a beer .
10090841.jpg,A dark-haired man sitting drinking .
10090841.jpg,A old man having a beer alone .
1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .
1009434119.jpg,A Boston Terrier is running on lush green grass in front of a white fence .
1009434119.jpg,A black and white dog is running through the grass .
1009434119.jpg,A dog runs on the green grass near a wooden fence .
1009434119.jpg,A Boston terrier is running in the grass .
1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog .
1009692167.jpg,A trained police dog sits next to his handler in front of the police van .
1009692167.jpg,A security man with his watch dog is looking for something .
1009692167.jpg,A policeman is standing with a German Shepherd dog .
1009692167.jpg,A policeman stops on a street with a search dog .
101001624.jpg,"The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
101001624.jpg,A young boy rides a bike down a snow covered road .
101001624.jpg,A boy in the snow riding his bike down the street .
101001624.jpg,A person riding a bike on a snowy road .
101001624.jpg,A person riding a bike in snow .
1010031975.jpg,"Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van ."
1010031975.jpg,small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking .
1010031975.jpg,Five men in white short-sleeved shirts and ties stand in a parking lot .
1010031975.jpg,A group of men wearing ties talk while standing on the street .
1010031975.jpg,Colleges stop to take a break from there business meetings .
1010087179.jpg,A tan man with a backwards hat looks at the camera while walking through a factory .
1010087179.jpg,Older man working in a factory not looking too excited about the photograph .
1010087179.jpg,A man in a white shirt and black camp among many machines .
1010087179.jpg,A man with a backwards hat works on machinery .
1010087179.jpg,A man wearing a backwards cap at work .
1010087623.jpg,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
1010087623.jpg,A black woman and a white man working in a factory setting packing jars with candles into boxes .
1010087623.jpg,A woman is sorting white tall candles as a man in a green shirt stands behind her .
1010087623.jpg,A warehouse manager assisting an employee .
1010087623.jpg,Two people working on an assembly line .
10101477.jpg,"Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background ."
10101477.jpg,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
10101477.jpg,A man in a white and blue kimono is using a broom to sweep pavement .
10101477.jpg,Man sweeping the street outside .
10101477.jpg,Asian man sweeping the walkway .
1010470346.jpg,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010470346.jpg,"A man leans into a car to talk to the driver , as a man on a bicycle looks on ."
1010470346.jpg,A man on a bicycle watching a row of cars waiting to go through a checkpoint .
1010470346.jpg,A park ranger talking to a tourist .
1010470346.jpg,Two cars are parked outside .
1010673430.jpg,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
1010673430.jpg,Two young children eating a snack and playing in the grass .
1010673430.jpg,Two young toddlers outside on the grass .
1010673430.jpg,Two infants are at play in the yard .
1010673430.jpg,2 female babies eating chips .
101093029.jpg,A person in tan pants is inside a silver mobile object while people watch .
101093029.jpg,People are watching a person in a weird vehicle in a plaza .
101093029.jpg,A man in a blue shirt driving a Segway type vehicle .
101093029.jpg,a showing of product to advertise
101093029.jpg,A crowd admiring modern art ?
101093045.jpg,"A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier ."
101093045.jpg,A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101093045.jpg,A person riding in a futuristic single-person vehicle .
101093045.jpg,man walking up to silver 4-wheeled chair
101093045.jpg,A man walks by a silver vehicle .
1011572216.jpg,bride and groom walking side by side out of focus on pathway next to brick building .
1011572216.jpg,A beautiful bride walking on a sidewalk with her new husband .
1011572216.jpg,A recently married couple pose for the camera .
1011572216.jpg,A groom and bride are standing arm in arm .
1011572216.jpg,A couple getting married .
1012150929.jpg,A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012150929.jpg,A young boy plays a video game in a McDonald 's restaurant .
1012150929.jpg,A young boy plays with a GameCube kiosk at McDonald 's .
1012150929.jpg,A little boy playing GameCube at a McDonald 's .
1012150929.jpg,A little kid playing GameCube at McDonald 's .
1012212859.jpg,White dog with brown ears standing near water with head turned to one side .
1012212859.jpg,"Dog with orange ball at feet , stands on shore shaking off water"
1012212859.jpg,A white dog shakes on the edge of a beach with an orange ball .
1012212859.jpg,White dog playing with a red ball on the shore near the water .
1012212859.jpg,"A dog shakes its head near the shore , a red ball next to it ."
1012328893.jpg,A group of people picnicking at picnic tables in front of a playground .
1012328893.jpg,A group of people enjoying a beautiful day in the park .
1012328893.jpg,A group of people are having a picnic at the park .
1012328893.jpg,The reunion is in full swing with a moon bounce .
1012328893.jpg,A group of people having a barbecue at a park .
101262930.jpg,"Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass ."
101262930.jpg,A man in sunglasses puts his arm around a woman in a black and white blouse .
101262930.jpg,A man in sunglasses puts his arm around a woman .
101262930.jpg,A man and woman pose in front of some traffic .
101262930.jpg,An Asian couple sitting on the bench .
1013536888.jpg,"Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background ."
1013536888.jpg,An elderly woman is eating a burger while the man next to her touching his hat .
1013536888.jpg,A man with a balloon hat and people eating outdoors at picnic tables .
1013536888.jpg,Two older women sit at a table with two coolers in front of them .
1013536888.jpg,A gray-haired person with glasses enjoys a sandwich .
101362133.jpg,A young female student performing a downward kick to break a board held by her Karate instructor .
101362133.jpg,Girl about to kick a piece of wood in half while karate instructor holds it
101362133.jpg,A girl kicking a stick that a man is holding in tae kwon do class .
101362133.jpg,A girl in karate uniform breaking a stick with a front kick .
101362133.jpg,A girl breaking boards by using karate .
101362650.jpg,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .
101362650.jpg,A boy jump kicking over three kids kicking wood during a tae kwon do competition .
101362650.jpg,A boy jumps over three other students in a martial arts demonstration .
101362650.jpg,A crowd is watching a group of five martial artists perform .
101362650.jpg,A crowd of people watch a martial arts demonstration .
1014609273.jpg,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .
1014609273.jpg,A kid in a red sweatshirt is reaching to hand something to a man in a white shirt
1014609273.jpg,A young boy empties a bottle over the railing of a balcony unto the man below .
1014609273.jpg,a boy in a red jacket pouring water on a man in a white shirt
1014609273.jpg,A young man pouring the contents of a bottle .
101471792.jpg,A man with a red jacket is shielding himself from the sun trying to read a piece of paper .
101471792.jpg,a man wearing a red coat is outside with his hand over his head to block out the sun .
101471792.jpg,A man in a red jacket shades the sun from his eyes on a busy street .
101471792.jpg,An elderly man in a red jacket shielding his face from the sun .
101471792.jpg,Man in red jacket shielding face from the sun to read .
1014785440.jpg,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
1014785440.jpg,"Two men , each with a small child on their backs , walk on a paved road ."
1014785440.jpg,Two men are out for a stroll with their two young children .
1014785440.jpg,Men walking down a street with children .
1014785440.jpg,Two men walking with children .
1015118661.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1015118661.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .
1015118661.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .
1015118661.jpg,A boy smiles in front of a stony wall in a city .
1015118661.jpg,A young boy runs aross the street .
1015584366.jpg,A mottled black and gray dog in a blue collar jumping over a fallen tree .
1015584366.jpg,A gray dog is leaping over a fallen tree .
1015584366.jpg,A large black dog leaps a fallen log .
1015584366.jpg,The black dog jumped the tree stump .
1015584366.jpg,A black dog leaps over a log .
101559400.jpg,"Men in the business suits are crossing the street , and there are people with placards are gathering on the street ."
101559400.jpg,A man in a suit runs across an intersection while a large group of people assembles .
101559400.jpg,"A man in a suit is running past two other gentleman , also dressed in a suit ."
101559400.jpg,A man in a suit is hurrying across the street .
101559400.jpg,A man in a suit is running across the street .
1015712668.jpg,A man in a red long-sleeved shirt bikes over a body of water on a bridge .
1015712668.jpg,A man riding his bike across the bridge that is over the river .
1015712668.jpg,A man in red on a bicycle rides past a glass structure .
1015712668.jpg,Man in a red shirt riding his bicycle around water .
1015712668.jpg,A man in a red shirt rides his bicycle .
10160966.jpg,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
10160966.jpg,A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .
10160966.jpg,A young man in sunglasses holds a blue cup next to a grill with sausages .
10160966.jpg,"A young man , wearing a white shirt , prepares hotdogs on a small grill ."
10160966.jpg,A man is holding his cup while he grills hotdogs .
101654506.jpg,The white and brown dog is running over the surface of the snow .
101654506.jpg,a white and brown dog is running through a snow covered field .
101654506.jpg,A brown and white dog is running through the snow .
101654506.jpg,A dog running through snow .
101654506.jpg,A dog is running in the snow
1016626169.jpg,Man on scooter attracts attention from some of those in large crowd .
1016626169.jpg,A crowd is standing and waiting for the green light .
1016626169.jpg,People stop and look at an older woman outside .
1016626169.jpg,A crowd of people waiting to cross a street .
1016626169.jpg,A crowd of people waiting for the light .
101669240.jpg,A person wearing skis looking at framed pictures set up in the snow .
101669240.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .
101669240.jpg,A man skis past another man displaying paintings in the snow .
101669240.jpg,A skier looks at framed pictures in the snow next to trees .
101669240.jpg,Man on skis looking at artwork for sale in the snow
1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1016887272.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1016887272.jpg,A group of people are rock climbing on a rock climbing wall .
1016887272.jpg,A group of people climbing a rock while one man belays
1016887272.jpg,A collage of one person climbing a cliff .
1017675163.jpg,"A young gymnast , jumps high in the air , while performing on a balance beam ."
1017675163.jpg,A woman wearing an orange leotard doing gymnastics in front of an audience .
1017675163.jpg,A gymnast performing on the balance beam in front of an audience .
1017675163.jpg,The young gymnast 's supple body soars above the balance beam .
1017675163.jpg,A gymnast is performing on the balance beam .
1018057225.jpg,a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .
1018057225.jpg,A young boy is pushing a toy ATV around a rubber pool
1018057225.jpg,a boy pushing a red toy atv next to a pool
1018057225.jpg,A boy pushing a miniature car on a lawn .
1018057225.jpg,A young boy pushing his toy quad .
1018148011.jpg,A group of people stand in the back of a truck filled with cotton .
1018148011.jpg,Men are standing on and about a truck carrying a white substance .
1018148011.jpg,A group of people are standing on a pile of wool in a truck .
1018148011.jpg,A group of men are loading cotton onto a truck
1018148011.jpg,Workers load sheared wool onto a truck .
101859883.jpg,a woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck .
101859883.jpg,A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope .
101859883.jpg,Woman in red windbreaker looking though a rooftop binoculars at the city below .
101859883.jpg,A woman in a headscarf uses a telescope to look out over the city and bay .
101859883.jpg,A Woman is looking through a telescope while wearing a red coat .
10188041.jpg,A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .
10188041.jpg,A man is standing in front of a small red object that looks like a plane .
10188041.jpg,A man wearing a black jacket is walking towards the street .
10188041.jpg,A man in a black jacket is moving towards a street .
10188041.jpg,Man in black coat examining airplane nose .
1019077836.jpg,Large brown dog running away from the sprinkler in the grass .
1019077836.jpg,A brown dog chases the water from a sprinkler on a lawn .
1019077836.jpg,A brown dog running on a lawn near a garden hose
1019077836.jpg,a brown dog plays with the hose .
1019077836.jpg,A dog is playing with a hose .
101958970.jpg,A man and a little girl happily posing in front of their cart in a supermarket .
101958970.jpg,A man sitting with his daughter in his daughter 's pink car in a grocery store .
101958970.jpg,A man is sitting on a pink cart with a little girl in the grocery store .
101958970.jpg,A man with his daughter sitting on a stroller in a supermarket .
101958970.jpg,The little girl and the man are smiling .
1019604187.jpg,A dog prepares to catch a thrown object in a field with nearby cars .
1019604187.jpg,A white dog is ready to catch a yellow ball flying through the air .
1019604187.jpg,A white dog is about to catch a yellow ball in its mouth .
1019604187.jpg,A white dog is about to catch a yellow dog toy .
1019604187.jpg,A white dog running after a yellow ball
102030371.jpg,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
102030371.jpg,Guy in green shirt with hand covering part of his face in restaurant booth .
102030371.jpg,Man sitting at a table at a restaurant with a glass of water .
102030371.jpg,A man in a green sweater and black vest sitting in a booth .
102030371.jpg,A boy in a green sweater is sitting at a table .
1020651753.jpg,A white dog is trying to catch a ball in midair over a grassy field .
1020651753.jpg,The white dog is playing in a green field with a yellow toy .
1020651753.jpg,a black and white dog jumping in the air to get a toy .
1020651753.jpg,A black and white dog jumps up towards a yellow toy .
1020651753.jpg,A dog leaps to catch a ball in a field .
1021293940.jpg,Two men are hiking in a forest where snow is partially covering the ground .
1021293940.jpg,Two men hiking in the snowy wilderness .
1021293940.jpg,Two hikers resting by a patch of snow .
1021293940.jpg,Two men look up while hiking .
1021293940.jpg,Two men hiking in the snow .
1021332107.jpg,"An elderly man with facial hair and glasses , standing in his living room holding a hutch cabinet with glass doors ."
1021332107.jpg,An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet .
1021332107.jpg,"A middle-aged man with a white beard and glasses holds up a small , wooden handmade cabinet ."
1021332107.jpg,A man showing off his new wooden creation .
1021332107.jpg,A man with beard carrying a cabinet .
1021439420.jpg,"two guys sitting on the floor , with the guy in the green jacket reading a piece of paper ."
1021439420.jpg,A elderly father and his grown son are preparing for a camping trip in the wild .
1021439420.jpg,Two men sit on the floor with camping equipment .
1021439420.jpg,Two men sitting on their living floor .
1021439420.jpg,Two guys sorting through some items .
1021442086.jpg,"A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car ."
1021442086.jpg,A bearded traveler in a red shirt sitting in a car and reading a map .
1021442086.jpg,A man wearing a baseball cap is sitting in a car looking at a map .
1021442086.jpg,a man in a red t-shirt is sitting in a car looking at a map .
1021442086.jpg,A man trying to decipher a map .
1022454332.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .
1022454332.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .
1022454332.jpg,"Two people are at the edge of a lake , facing the water and the city skyline ."
1022454332.jpg,A child and a woman are at waters edge in a big city .
1022454332.jpg,A little boy at a lake watching a duck .
1022454428.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a nearby stroller ."
1022454428.jpg,A man and woman care for an infant along the side of a body of water .
1022454428.jpg,A couple with their newborn baby sitting under a tree facing a lake .
1022454428.jpg,Couple with a baby sit outdoors next to their stroller .
1022454428.jpg,A couple sit on the grass with a baby and stroller .
102268204.jpg,Three men are standing at night near a black car near a shelter filled with bicycles .
102268204.jpg,Some men standing in front of a building next to a parked car .
102268204.jpg,There are a lot of bikes parked under the curved roof tonight .
102268204.jpg,police questioning the driver of a black wagon at nighttime .
102268204.jpg,Men under a dome beside a black station wagon .
1022975728.jpg,A black lab with tags frolicks in the water .
1022975728.jpg,This is a black dog splashing in the water .
1022975728.jpg,The black dog runs through the water .
1022975728.jpg,A black dog running in the surf .
1022975728.jpg,A dog splashes in the water
102351840.jpg,A man is drilling through the frozen ice of a pond .
102351840.jpg,A person in the snow drilling a hole in the ice .
102351840.jpg,A person standing on a frozen lake .
102351840.jpg,A man drilling a hole in the ice .
102351840.jpg,Two men are ice fishing .
1024138940.jpg,Two different breeds of brown and white dogs play on the beach .
1024138940.jpg,Two dogs are making a turn on a soft sand beach .
1024138940.jpg,Two large tan dogs play along a sandy beach .
1024138940.jpg,Two dogs playing in the sand at the beach .
1024138940.jpg,Two dogs playing together on a beach .
102455176.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
102455176.jpg,A person in blue and red ice climbing with two picks .
102455176.jpg,A man uses ice picks and crampons to scale ice .
102455176.jpg,An ice climber scaling a frozen waterfall .
102455176.jpg,Climber climbing an ice wall
1024613706.jpg,Two young men and a young lady walk through a field near the water .
1024613706.jpg,Three people walking through a beautiful meadow towards the ocean .
1024613706.jpg,Two men and a woman are walking through a field .
1024613706.jpg,Two males and one female walking on a path .
1024613706.jpg,Three people walking on a path in a meadow .
102520526.jpg,"A man in black attire shovels snow into the street , disregarding all public safety ."
102520526.jpg,"Man in black jacket gray snow cap , shovels snow near a street with cars ."
102520526.jpg,A man shoveling snow off the roads and sidewalks in a city .
102520526.jpg,A person is cleaning snow and ice off of a city sidewalk .
102520526.jpg,A man shovels slush of the street .
102575576.jpg,A couple in their wedding attire stand behind a table with a wedding cake and flowers .
102575576.jpg,A bride and groom are standing in front of their wedding cake at their reception .
102575576.jpg,A bride and groom smile as they view their wedding cake at the reception .
102575576.jpg,A couple stands behind their wedding cake .
102575576.jpg,Man and woman cutting wedding cake .
102617084.jpg,"Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat ."
102617084.jpg,"Five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background ."
102617084.jpg,"Five people wearing winter clothing , helmets , and ski goggles stand outside in the snow ."
102617084.jpg,A group of snowmobile riders gather in the snow .
102617084.jpg,Group gathered to go snowmobiling .
1026685415.jpg,A black dog carries a green toy in his mouth as he walks through the grass .
1026685415.jpg,A wet black dog is carrying a green toy through the grass .
1026685415.jpg,A black dog carrying something through the grass .
1026685415.jpg,A dog in grass with a blue item in his mouth .
1026685415.jpg,A black dog has a blue toy in its mouth .
1026792563.jpg,A group of woman and children are standing or sitting in front of rows of vegetables .
1026792563.jpg,A group of women are trying to sell their vegetable harvest .
1026792563.jpg,People lay out vegetables on blankets at a street market .
1026792563.jpg,Villagers selling their crops at the market .
1026792563.jpg,These are some very large onions .
1027149103.jpg,A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
